ResSecond,EffortFiscInd,EffortFisc,ReFiscHab,DGF,CodeINSEECom,NomCom,PopDGF,PopINSEE,AGE65,Sup,PotFisc,PotFiscHab,ProduitnetFB,ProduitnetTH,BasesnettesFB,BasesnettesTH,NombredelogementsTHdelacommune,Nombredelogementssociauxdelacommune,DGFHab
173,"112,7567722","1,048534","72,80157",576 448,56102,FORGES DE LANOUEE,2466,2293,"21,4",9629,"660,471614","770,044201",166934,294666,1515402,2068950,1124,18,"251,3946795"
172,"109,694425","1,077806","186,277439",117 583,29073,GUIMAEC,1156,984,28,1873,"727,127163","803,250865",183297,235609,1014168,1531499,617,21,"119,4949187"
172,"112,3291105","1,052526","153,4600194",787 445,56244,SERENT,3261,3089,"20,8",5967,"598,985894","715,583257",474038,379611,2364723,2647418,1443,83,"254,9190677"
171,"79,07590368","1,495137","130,6680884",793 008,22219,PLOUGUENAST-LANGAST,2750,2579,"23,3",5557,"575,979636","724,160364",336993,449301,1539066,2204388,1231,41,"307,4866227"
171,"110,484769","1,070096","97,49646893",259 697,35132,HIREL,1587,1416,"23,5",985,"451,718967","547,992439",138055,210653,944503,1552683,755,26,"183,4018362"
169,"104,1068049","1,135654","229,638987",74 860,22049,CREHEN,1867,1698,"33,6",1821,"842,729513","869,537225",389927,195277,2088129,1678927,811,15,"44,08716137"
169,"94,19033474","1,255217","111,9417808",500 890,22228,PLOUNEVEZ-MOEDEC,1629,1460,"24,5",4036,"496,065684","623,726212",163435,136101,889214,1123362,807,22,"343,0753425"
169,"106,6646242","1,108421","81,31481481",254 984,29007,BERRIEN,1141,972,"23,6",5642,"582,852761","679,851884",79038,136677,660865,870658,632,26,"262,3292181"
169,"126,5679882","0,934117","198,0234604",70 296,29104,LANDEVENNEC,510,341,"31,3",1383,"718,743137","820,723529",67526,149855,452230,1211843,302,4,"206,1466276"
167,"92,89834585","1,272674","158,0079903",812 453,35299,SAINT-MELOIR-DES-ONDES,4297,4130,"17,1",2949,"583,554108","646,454503",652573,854489,3233383,3974571,2019,133,"196,7198547"
166,"83,10574616","1,422637","190,9097336",934 440,56247,SULNIAC,3844,3678,13,2792,"483,932102","582,905827",702166,692351,2193319,3355224,1533,110,"254,0619902"
165,"108,6147332","1,08852","142,3947255",446 309,56126,MARZAN,2478,2313,"18,6",3384,"519,679984","611,189266",329359,361154,1832621,2337085,1154,5,"192,9567661"
164,"106,5310304","1,109811","207,8886184",178 617,29186,PLOUEZOC'H,1807,1643,"26,9",1583,"734,049253","810,643055",341561,427011,1711938,2449405,909,33,"108,7139379"
163,"77,17725898","1,531919","205,9751071",1 178 290,22183,PLÉMET,3899,3736,"24,5",5664,"642,172095","830,814055",769523,637392,2891097,2936746,1782,57,"315,3881156"
162,"117,0329981","1,010222","189,9176829",97 754,29251,SAINT-JEAN-DU-DOIGT,818,656,25,1981,"731,937653","827,378973",124586,149733,706608,1060247,434,6,"149,0152439"
161,"98,79380227","1,196728","95,63019205",657 297,22048,CORSEUL,2400,2239,20,4174,"511,000833","637,602917",214116,280300,1361481,2027733,1049,41,"293,5672175"
161,"98,96241566","1,194689","100,7250996",444 078,56080,GUILLIERS,1667,1506,"29,2",3514,"490,344331","598,925615",151692,173295,831511,1215763,747,28,"294,87251"
160,"88,25354991","1,339655","218,572043",97 803,22319,SAINT-MICHEL-EN-GREVE,625,465,"34,2",469,"483,8288",597,101636,126551,472001,757614,385,0,"210,3290323"
160,"108,9698171","1,084973","159,8338279",168 726,56229,SAINT-MARTIN,1508,1348,"30,3",2824,"658,706897","744,286472",215456,205910,1194964,1275756,736,27,"125,1676558"
159,"87,53252737","1,35069","89,99006623",306 247,22391,YVIGNAC-LA-TOUR,1367,1208,21,3539,"410,144843","532,218727",108708,171323,654266,912532,641,17,"253,5157285"
159,"104,4071589","1,132387","132,8136558",137 135,29211,PLOUYE,862,703,"28,3",3755,"560,583527","676,236659",93368,126780,514454,767076,477,16,"195,0711238"
